행정구역,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시  (1100000000),"455,285","717,167","1,235,592","1,459,863","1,345,085","1,447,146","1,304,872","839,832","369,461","57,418","1,345"
서울특별시 종로구 (1111000000),"5,005","9,149","19,929","19,758","17,809","22,169","20,614","12,593","6,801","1,226",28
서울특별시 중구 (1114000000),"4,840","5,812","15,478","21,115","15,930","17,416","17,508","11,560","5,727","1,022",19
서울특별시 용산구 (1117000000),"9,732","12,542","25,637","36,652","28,364","30,798","27,371","16,024","8,408","1,605",50
서울특별시 성동구 (1120000000),"15,623","17,247","37,429","48,158","39,146","42,188","38,055","22,549","10,850","1,637",27
서울특별시 광진구 (1121500000),"13,332","22,879","54,217","56,692","45,399","50,060","45,442","26,979","11,827","1,857",39
서울특별시 동대문구 (1123000000),"17,788","23,387","55,361","55,382","47,859","52,084","48,508","31,707","15,171","2,194",50
서울특별시 중랑구 (1126000000),"16,261","22,944","44,270","58,894","50,015","60,639","64,033","38,815","16,513","2,364",55
서울특별시 성북구 (1129000000),"21,156","34,165","62,064","56,723","58,753","69,755","58,049","37,658","18,595","2,874",61
서울특별시 강북구 (1130500000),"9,380","17,802","33,634","34,104","35,460","47,743","47,317","32,733","16,162","2,147",43
서울특별시 도봉구 (1132000000),"11,534","20,998","32,568","36,892","38,877","51,087","52,922","33,808","15,887","2,415",71
서울특별시 노원구 (1135000000),"22,615","43,861","60,148","61,190","67,889","82,402","71,913","45,604","20,695","3,565",83
서울특별시 은평구 (1138000000),"19,945","33,167","54,673","66,535","63,337","75,603","68,483","44,604","21,322","3,097",65
서울특별시 서대문구 (1141000000),"14,902","21,794","44,513","45,074","41,435","46,884","41,429","25,986","13,766","2,216",47
서울특별시 마포구 (1144000000),"17,946","25,657","53,739","64,213","53,653","54,975","42,128","25,777","13,523","2,261",45
서울특별시 양천구 (1147000000),"22,407","45,716","45,376","51,420","68,431","70,726","61,846","38,291","14,069","2,262",63
서울특별시 강서구 (1150000000),"26,186","39,763","70,068","96,082","80,648","80,292","78,218","51,097","19,845","3,362",92
서울특별시 구로구 (1153000000),"19,141","26,755","45,179","61,428","53,808","59,197","57,495","39,334","16,197","2,224",38
서울특별시 금천구 (1154500000),"8,120","11,902","31,059","39,862","27,143","34,214","36,853","21,906","9,220","1,260",23
서울특별시 영등포구 (1156000000),"19,482","22,249","51,914","74,452","51,397","52,933","48,474","31,026","14,333","2,291",47
서울특별시 동작구 (1159000000),"17,097","25,032","59,205","61,859","50,160","55,704","49,400","33,319","15,659","2,367",50
서울특별시 관악구 (1162000000),"13,581","23,796","101,010","93,973","56,650","63,392","59,312","41,715","19,064","2,357",44
서울특별시 서초구 (1165000000),"26,303","45,667","47,164","56,998","70,335","67,622","48,075","32,724","13,754","2,235",62
서울특별시 강남구 (1168000000),"31,482","63,468","61,265","78,741","97,727","86,883","62,203","44,413","17,214","2,768",88
서울특별시 송파구 (1171000000),"39,685","57,594","75,105","106,551","104,197","97,900","87,720","54,763","19,413","3,305",86
서울특별시 강동구 (1174000000),"31,742","43,821","54,587","77,115","80,663","74,480","71,504","44,847","15,446","2,507",69
